temperature, rainfall, humudity, yeild_apples
31.00 48.00 25.00 202.00
69.00 51.00 32.00 267.00
53.00 79.00 23.00 280.00
64.00 95.00 61.00 437.00
31.00 61.00 66.00 351.00
63.00 85.00 46.00 371.00
72.00 30.00 44.00 264.00
98.00 98.00 70.00 504.00
55.00 83.00 35.00 326.00
53.00 94.00 80.00 481.00
27.00 21.00 64.00 261.00
24.00 54.00 32.00 228.00
36.00 61.00 95.00 443.00
54.00 28.00 62.00 296.00
38.00 86.00 35.00 315.00
95.00 86.00 79.00 504.00
21.00 36.00 47.00 234.00
88.00 59.00 99.00 503.00
44.00 33.00 69.00 317.00
48.00 38.00 80.00 364.00
71.00 57.00 85.00 440.00
100.00 58.00 100.00 516.00
36.00 21.00 55.00 243.00
35.00 99.00 48.00 377.00
75.00 56.00 92.00 463.00
55.00 94.00 45.00 378.00
34.00 88.00 85.00 465.00
28.00 57.00 67.00 343.00
24.00 61.00 52.00 302.00
78.00 65.00 89.00 475.00
24.00 28.00 65.00 275.00
73.00 28.00 29.00 216.00
37.00 73.00 23.00 252.00
94.00 95.00 76.00 512.00
65.00 56.00 64.00 369.00
34.00 37.00 40.00 228.00
57.00 74.00 24.00 277.00
59.00 61.00 56.00 349.00
44.00 66.00 94.00 458.00
57.00 81.00 75.00 444.00
62.00 67.00 29.00 283.00
72.00 84.00 39.00 357.00
100.00 75.00 40.00 370.00
55.00 92.00 76.00 467.00
20.00 67.00 46.00 292.00
40.00 56.00 100.00 452.00
40.00 56.00 90.00 422.00
78.00 41.00 45.00 295.00
82.00 25.00 60.00 312.00
55.00 34.00 61.00 306.00
28.00 39.00 27.00 187.00
48.00 38.00 32.00 220.00
91.00 52.00 88.00 459.00
92.00 46.00 84.00 436.00
80.00 81.00 56.00 410.00
73.00 93.00 62.00 445.00
56.00 23.00 85.00 357.00
73.00 47.00 79.00 404.00
53.00 56.00 46.00 303.00
34.00 35.00 95.00 389.00
74.00 96.00 81.00 509.00
67.00 26.00 37.00 230.00
53.00 60.00 36.00 281.00
53.00 62.00 90.00 447.00
85.00 68.00 96.00 509.00
90.00 97.00 31.00 377.00
29.00 100.00 22.00 295.00
24.00 54.00 81.00 375.00
60.00 91.00 53.00 401.00
62.00 99.00 20.00 320.00
50.00 80.00 63.00 399.00
49.00 96.00 62.00 427.00
51.00 95.00 84.00 493.00
64.00 41.00 96.00 434.00
67.00 75.00 50.00 367.00
28.00 37.00 69.00 309.00
84.00 86.00 36.00 364.00
40.00 72.00 34.00 286.00
61.00 77.00 53.00 374.00
71.00 94.00 63.00 448.00
66.00 99.00 49.00 411.00
34.00 87.00 65.00 403.00
73.00 96.00 92.00 541.00
70.00 49.00 75.00 393.00
30.00 89.00 23.00 277.00
69.00 92.00 75.00 478.00
36.00 21.00 65.00 273.00
20.00 53.00 35.00 231.00
28.00 30.00 32.00 184.00
62.00 58.00 76.00 406.00
96.00 89.00 54.00 436.00
38.00 31.00 37.00 211.00
69.00 97.00 48.00 407.00
98.00 25.00 90.00 418.00
98.00 23.00 42.00 270.00
47.00 95.00 40.00 357.00
42.00 71.00 21.00 247.00
85.00 42.00 57.00 340.00
86.00 58.00 76.00 430.00
50.00 58.00 65.00 361.00
48.00 61.00 81.00 413.00
27.00 22.00 70.00 281.00
32.00 78.00 31.00 281.00
32.00 24.00 47.00 221.00
65.00 66.00 45.00 332.00
94.00 85.00 69.00 471.00
25.00 81.00 28.00 271.00
94.00 68.00 48.00 374.00
65.00 29.00 93.00 402.00
33.00 63.00 40.00 279.00
72.00 72.00 44.00 348.00
29.00 86.00 46.00 339.00
82.00 57.00 76.00 424.00
23.00 66.00 54.00 317.00
100.00 61.00 27.00 303.00
80.00 38.00 80.00 396.00
43.00 99.00 21.00 304.00
29.00 96.00 76.00 449.00
76.00 55.00 78.00 420.00
62.00 76.00 23.00 283.00
29.00 30.00 56.00 257.00
59.00 45.00 70.00 359.00
51.00 92.00 69.00 442.00
61.00 89.00 100.00 539.00
99.00 23.00 67.00 346.00
30.00 89.00 71.00 421.00
68.00 27.00 65.00 317.00
80.00 31.00 68.00 346.00
74.00 48.00 71.00 383.00
26.00 80.00 67.00 387.00
45.00 95.00 96.00 523.00
62.00 45.00 90.00 422.00
89.00 73.00 60.00 415.00
63.00 65.00 48.00 337.00
62.00 51.00 26.00 242.00
46.00 21.00 28.00 172.00
59.00 64.00 48.00 331.00
55.00 20.00 25.00 170.00
46.00 21.00 74.00 310.00
89.00 97.00 45.00 418.00
42.00 21.00 41.00 207.00
63.00 87.00 33.00 336.00
91.00 91.00 38.00 387.00
45.00 22.00 62.00 275.00
38.00 61.00 29.00 247.00
48.00 86.00 99.00 517.00
59.00 51.00 37.00 272.00
69.00 66.00 73.00 420.00
38.00 34.00 58.00 280.00
97.00 38.00 83.00 422.00
32.00 68.00 73.00 387.00
89.00 76.00 20.00 301.00
74.00 30.00 55.00 299.00
98.00 80.00 20.00 318.00
29.00 41.00 76.00 339.00
95.00 60.00 43.00 344.00
60.00 62.00 69.00 391.00
57.00 91.00 27.00 320.00
51.00 92.00 64.00 427.00
100.00 32.00 82.00 410.00
82.00 21.00 40.00 244.00
76.00 76.00 93.00 507.00
47.00 24.00 81.00 338.00
30.00 90.00 87.00 471.00
94.00 36.00 22.00 232.00
76.00 78.00 25.00 307.00
42.00 33.00 36.00 216.00
23.00 20.00 73.00 282.00
81.00 88.00 58.00 431.00
66.00 38.00 23.00 211.00
89.00 78.00 38.00 359.00
81.00 93.00 70.00 477.00
20.00 20.00 39.00 177.00
35.00 92.00 60.00 399.00
34.00 48.00 93.00 409.00
45.00 77.00 52.00 355.00
34.00 76.00 40.00 306.00
66.00 32.00 69.00 337.00
89.00 68.00 21.00 288.00
25.00 80.00 25.00 260.00
81.00 60.00 98.00 495.00
96.00 61.00 22.00 284.00
53.00 70.00 39.00 310.00
80.00 61.00 93.00 481.00
74.00 100.00 26.00 352.00
43.00 72.00 97.00 478.00
47.00 47.00 97.00 432.00
22.00 88.00 56.00 366.00
100.00 29.00 35.00 263.00
31.00 98.00 57.00 398.00
23.00 75.00 30.00 263.00
46.00 81.00 67.00 409.00
24.00 39.00 75.00 327.00
35.00 85.00 45.00 340.00
32.00 80.00 86.00 450.00
57.00 37.00 50.00 281.00
28.00 38.00 98.00 398.00
33.00 75.00 62.00 369.00
97.00 96.00 71.00 502.00
21.00 32.00 22.00 151.00
69.00 21.00 48.00 255.00
85.00 53.00 28.00 275.00
50.00 89.00 61.00 411.00
66.00 88.00 69.00 449.00
62.00 72.00 41.00 329.00
100.00 97.00 45.00 429.00
55.00 35.00 50.00 275.00
57.00 70.00 23.00 266.00
36.00 92.00 32.00 316.00
64.00 27.00 75.00 343.00
45.00 87.00 84.00 471.00
40.00 64.00 46.00 306.00
72.00 87.00 20.00 306.00
99.00 23.00 43.00 274.00
57.00 21.00 69.00 306.00
93.00 51.00 20.00 255.00
80.00 43.00 73.00 385.00
46.00 36.00 58.00 292.00
99.00 78.00 27.00 336.00
61.00 93.00 59.00 424.00
87.00 43.00 26.00 251.00
84.00 75.00 34.00 336.00
53.00 40.00 33.00 232.00
66.00 88.00 50.00 392.00
31.00 85.00 83.00 450.00
48.00 100.00 22.00 314.00
38.00 58.00 86.00 412.00
21.00 79.00 84.00 431.00
52.00 46.00 36.00 252.00
35.00 61.00 42.00 283.00
49.00 28.00 23.00 174.00
23.00 22.00 66.00 265.00
35.00 36.00 76.00 335.00
35.00 26.00 67.00 288.00
68.00 77.00 98.00 516.00
39.00 55.00 45.00 284.00
69.00 34.00 76.00 365.00
58.00 20.00 36.00 206.00
26.00 28.00 59.00 259.00
68.00 20.00 39.00 225.00
31.00 95.00 33.00 320.00
64.00 21.00 33.00 205.00
35.00 59.00 99.00 450.00
39.00 49.00 70.00 347.00
65.00 23.00 71.00 324.00
93.00 64.00 45.00 356.00
64.00 68.00 64.00 392.00
46.00 85.00 66.00 414.00
40.00 99.00 21.00 301.00
34.00 32.00 77.00 329.00
67.00 52.00 69.00 378.00
62.00 49.00 65.00 355.00
20.00 98.00 55.00 381.00
32.00 22.00 87.00 337.00
25.00 99.00 65.00 418.00
44.00 86.00 91.00 489.00
51.00 63.00 54.00 339.00
69.00 26.00 45.00 256.00
40.00 37.00 76.00 342.00
67.00 68.00 74.00 425.00
92.00 69.00 37.00 341.00
44.00 72.00 67.00 389.00
31.00 68.00 79.00 404.00
66.00 96.00 98.00 552.00
46.00 96.00 51.00 391.00
43.00 99.00 77.00 472.00
81.00 71.00 57.00 394.00
82.00 99.00 31.00 373.00
29.00 74.00 54.00 339.00
37.00 93.00 69.00 430.00
23.00 52.00 41.00 250.00
35.00 57.00 20.00 209.00
72.00 74.00 83.00 469.00
46.00 79.00 43.00 333.00
100.00 94.00 29.00 375.00
51.00 55.00 42.00 287.00
33.00 86.00 59.00 382.00
37.00 32.00 85.00 356.00
23.00 74.00 62.00 357.00
77.00 56.00 51.00 342.00
28.00 55.00 49.00 285.00
69.00 75.00 91.00 492.00
50.00 61.00 47.00 313.00
76.00 98.00 98.00 566.00
71.00 35.00 33.00 240.00
76.00 73.00 72.00 438.00
80.00 77.00 82.00 480.00
84.00 86.00 58.00 430.00
50.00 34.00 98.00 412.00
69.00 31.00 48.00 275.00
56.00 99.00 85.00 509.00
45.00 67.00 97.00 470.00
37.00 82.00 65.00 396.00
83.00 25.00 77.00 364.00
57.00 50.00 67.00 358.00
71.00 66.00 95.00 488.00
64.00 27.00 86.00 376.00
27.00 79.00 21.00 248.00
35.00 94.00 69.00 430.00
23.00 65.00 82.00 399.00
51.00 50.00 28.00 235.00
91.00 52.00 59.00 372.00
75.00 57.00 75.00 414.00
66.00 64.00 37.00 305.00
58.00 48.00 71.00 367.00
39.00 58.00 38.00 269.00
83.00 100.00 52.00 439.00
76.00 64.00 61.00 387.00
37.00 42.00 65.00 316.00
65.00 96.00 74.00 479.00
49.00 66.00 35.00 286.00
42.00 28.00 62.00 284.00
71.00 81.00 53.00 392.00
89.00 92.00 65.00 468.00
70.00 88.00 21.00 309.00
46.00 37.00 75.00 345.00
49.00 32.00 94.00 395.00
73.00 65.00 54.00 365.00
26.00 96.00 98.00 512.00
89.00 28.00 95.00 430.00
47.00 52.00 75.00 376.00
75.00 88.00 65.00 446.00
73.00 37.00 76.00 375.00
28.00 86.00 67.00 401.00
75.00 65.00 91.00 478.00
61.00 98.00 42.00 383.00
34.00 49.00 65.00 327.00
83.00 93.00 78.00 503.00
58.00 49.00 49.00 303.00
55.00 81.00 25.00 292.00
61.00 20.00 95.00 386.00
87.00 69.00 52.00 381.00
39.00 67.00 94.00 455.00
74.00 94.00 70.00 472.00
40.00 72.00 55.00 349.00
94.00 31.00 42.00 282.00
47.00 79.00 55.00 370.00
69.00 42.00 72.00 369.00
26.00 36.00 66.00 296.00
23.00 64.00 77.00 382.00
82.00 53.00 69.00 395.00
38.00 93.00 46.00 362.00
68.00 48.00 49.00 311.00
20.00 43.00 32.00 202.00
21.00 53.00 22.00 193.00
46.00 64.00 55.00 339.00
50.00 75.00 92.00 476.00
68.00 53.00 71.00 387.00
50.00 54.00 74.00 380.00
68.00 97.00 42.00 388.00
80.00 73.00 38.00 340.00
74.00 21.00 56.00 284.00
61.00 48.00 25.00 232.00
44.00 40.00 70.00 334.00
23.00 45.00 55.00 278.00
85.00 69.00 42.00 349.00
56.00 87.00 75.00 455.00
43.00 96.00 89.00 502.00
23.00 31.00 45.00 220.00
67.00 80.00 25.00 302.00
72.00 28.00 60.00 308.00
32.00 97.00 80.00 466.00
52.00 55.00 73.00 381.00
30.00 56.00 85.00 397.00
48.00 49.00 34.00 248.00
80.00 44.00 91.00 441.00
51.00 70.00 60.00 371.00
71.00 70.00 95.00 496.00
48.00 95.00 26.00 316.00
71.00 66.00 40.00 323.00
63.00 33.00 84.00 381.00
83.00 45.00 52.00 329.00
94.00 64.00 85.00 477.00
85.00 58.00 74.00 423.00
37.00 47.00 30.00 221.00
77.00 82.00 88.00 505.00
92.00 65.00 59.00 399.00
61.00 53.00 85.00 422.00
66.00 46.00 90.00 428.00
84.00 60.00 38.00 318.00
53.00 60.00 82.00 419.00
96.00 73.00 57.00 413.00
42.00 41.00 69.00 331.00
54.00 25.00 23.00 173.00
46.00 21.00 89.00 355.00
89.00 64.00 33.00 316.00
29.00 65.00 60.00 339.00
91.00 83.00 88.00 521.00
49.00 68.00 41.00 308.00
58.00 72.00 86.00 460.00
91.00 41.00 51.00 326.00
56.00 41.00 46.00 276.00
78.00 97.00 44.00 404.00
62.00 58.00 89.00 445.00
24.00 69.00 20.00 222.00
94.00 34.00 65.00 357.00
44.00 52.00 81.00 391.00
93.00 71.00 58.00 409.00
53.00 49.00 83.00 400.00
72.00 96.00 73.00 483.00
67.00 78.00 74.00 445.00
100.00 67.00 41.00 357.00
38.00 97.00 39.00 349.00
76.00 80.00 99.00 533.00
91.00 73.00 45.00 372.00
29.00 94.00 86.00 475.00
78.00 24.00 54.00 288.00
22.00 77.00 60.00 356.00
20.00 88.00 63.00 385.00
82.00 35.00 67.00 353.00
49.00 40.00 60.00 309.00
47.00 97.00 58.00 415.00
63.00 44.00 61.00 334.00
79.00 56.00 74.00 413.00
36.00 55.00 27.00 227.00
52.00 28.00 45.00 243.00
97.00 37.00 80.00 411.00
100.00 67.00 29.00 321.00
53.00 57.00 34.00 269.00
97.00 55.00 62.00 393.00
90.00 28.00 62.00 332.00
89.00 64.00 66.00 415.00
30.00 21.00 57.00 243.00
33.00 78.00 65.00 384.00
96.00 69.00 66.00 432.00
67.00 60.00 32.00 283.00
57.00 74.00 41.00 328.00
38.00 29.00 87.00 357.00
64.00 69.00 84.00 454.00
88.00 67.00 98.00 516.00
49.00 30.00 25.00 184.00
47.00 24.00 47.00 236.00
51.00 33.00 81.00 360.00
81.00 91.00 83.00 512.00
21.00 64.00 62.00 335.00
84.00 69.00 99.00 519.00
79.00 30.00 40.00 259.00
82.00 20.00 33.00 221.00
55.00 95.00 84.00 497.00
23.00 98.00 22.00 285.00
72.00 77.00 48.00 370.00
54.00 53.00 38.00 274.00
51.00 29.00 58.00 283.00
26.00 75.00 26.00 254.00
45.00 50.00 39.00 262.00
20.00 64.00 24.00 220.00
93.00 28.00 24.00 221.00
91.00 71.00 42.00 359.00
41.00 46.00 95.00 418.00
27.00 96.00 73.00 438.00
62.00 98.00 35.00 363.00
27.00 23.00 54.00 235.00
24.00 86.00 71.00 409.00
94.00 69.00 43.00 361.00
31.00 96.00 22.00 289.00
85.00 79.00 43.00 372.00
82.00 72.00 74.00 448.00
62.00 22.00 47.00 247.00
69.00 35.00 65.00 334.00
81.00 91.00 54.00 425.00
76.00 27.00 63.00 319.00
76.00 93.00 89.00 529.00
51.00 30.00 63.00 300.00
44.00 92.00 54.00 390.00
58.00 69.00 94.00 478.00
67.00 85.00 37.00 348.00
84.00 44.00 20.00 232.00
48.00 54.00 71.00 369.00
67.00 64.00 97.00 486.00
48.00 28.00 24.00 176.00
68.00 63.00 54.00 356.00
22.00 80.00 42.00 308.00
58.00 94.00 47.00 387.00
81.00 75.00 68.00 435.00
55.00 22.00 84.00 351.00
30.00 21.00 37.00 183.00
85.00 58.00 90.00 471.00
77.00 73.00 48.00 367.00
91.00 81.00 87.00 514.00
82.00 56.00 65.00 389.00
58.00 63.00 66.00 382.00
25.00 79.00 47.00 324.00
56.00 59.00 86.00 432.00
38.00 61.00 90.00 430.00
91.00 61.00 48.00 357.00
99.00 32.00 71.00 376.00
41.00 27.00 25.00 170.00
37.00 91.00 66.00 417.00
98.00 69.00 99.00 533.00
33.00 80.00 24.00 265.00
86.00 80.00 44.00 378.00
60.00 45.00 75.00 375.00
84.00 39.00 83.00 411.00
30.00 41.00 80.00 352.00
59.00 76.00 77.00 442.00
90.00 42.00 94.00 456.00
33.00 87.00 29.00 294.00
81.00 20.00 57.00 292.00
73.00 94.00 76.00 489.00
47.00 56.00 96.00 447.00
25.00 62.00 45.00 284.00
97.00 75.00 38.00 361.00
95.00 74.00 95.00 528.00
25.00 64.00 29.00 240.00
78.00 39.00 20.00 216.00
62.00 87.00 60.00 416.00
50.00 23.00 61.00 279.00
52.00 87.00 57.00 397.00
69.00 64.00 94.00 479.00
99.00 68.00 51.00 388.00
21.00 58.00 26.00 215.00
86.00 43.00 74.00 394.00
58.00 36.00 73.00 349.00
91.00 66.00 37.00 334.00
21.00 59.00 25.00 214.00
63.00 96.00 57.00 426.00
40.00 20.00 72.00 296.00
33.00 87.00 32.00 303.00
66.00 88.00 73.00 461.00
24.00 94.00 25.00 287.00
97.00 78.00 20.00 313.00
55.00 66.00 61.00 370.00
53.00 82.00 42.00 343.00
22.00 61.00 84.00 396.00
40.00 59.00 22.00 224.00
31.00 93.00 32.00 313.00
94.00 28.00 60.00 330.00
99.00 69.00 83.00 486.00
21.00 47.00 45.00 250.00
36.00 95.00 86.00 484.00
80.00 46.00 100.00 472.00
41.00 94.00 23.00 298.00
26.00 97.00 48.00 364.00
80.00 66.00 76.00 440.00
80.00 63.00 33.00 305.00
25.00 48.00 83.00 370.00
61.00 47.00 93.00 434.00
44.00 81.00 62.00 392.00
89.00 54.00 70.00 407.00
44.00 72.00 73.00 407.00
58.00 71.00 31.00 293.00
54.00 33.00 90.00 390.00
29.00 49.00 91.00 400.00
60.00 51.00 63.00 351.00
30.00 20.00 71.00 283.00
23.00 100.00 66.00 421.00
54.00 51.00 47.00 297.00
35.00 98.00 30.00 321.00
44.00 37.00 24.00 190.00
47.00 94.00 83.00 484.00
46.00 68.00 66.00 380.00
67.00 75.00 76.00 445.00
58.00 63.00 92.00 460.00
100.00 22.00 60.00 324.00
46.00 43.00 32.00 228.00
66.00 86.00 32.00 334.00
22.00 62.00 99.00 443.00
37.00 99.00 27.00 316.00
100.00 89.00 24.00 350.00
65.00 25.00 71.00 328.00
100.00 57.00 47.00 355.00
66.00 30.00 87.00 387.00
74.00 79.00 85.00 487.00
85.00 58.00 32.00 297.00
21.00 28.00 76.00 305.00
36.00 67.00 90.00 440.00
60.00 22.00 92.00 380.00
55.00 85.00 60.00 405.00
74.00 45.00 82.00 410.00
39.00 98.00 90.00 505.00
69.00 79.00 42.00 353.00
97.00 51.00 49.00 346.00
97.00 61.00 87.00 480.00
60.00 58.00 71.00 389.00
76.00 30.00 81.00 379.00
46.00 73.00 87.00 453.00
50.00 96.00 73.00 461.00
34.00 42.00 54.00 280.00
60.00 20.00 33.00 199.00
69.00 56.00 45.00 316.00
53.00 50.00 35.00 258.00
57.00 93.00 31.00 336.00
21.00 54.00 41.00 252.00
42.00 79.00 54.00 362.00
42.00 27.00 89.00 363.00
76.00 49.00 66.00 372.00
70.00 92.00 80.00 494.00
57.00 40.00 45.00 272.00
25.00 46.00 62.00 303.00
29.00 89.00 25.00 282.00
71.00 98.00 69.00 474.00
31.00 79.00 47.00 330.00
56.00 74.00 48.00 348.00
94.00 21.00 64.00 328.00
58.00 100.00 67.00 459.00
57.00 100.00 28.00 341.00
48.00 72.00 20.00 252.00
86.00 79.00 93.00 523.00
41.00 35.00 43.00 240.00
72.00 27.00 38.00 240.00
95.00 41.00 34.00 279.00
75.00 55.00 74.00 407.00
87.00 65.00 95.00 502.00
84.00 69.00 49.00 369.00
88.00 57.00 20.00 262.00
25.00 42.00 86.00 367.00
28.00 95.00 46.00 356.00
48.00 79.00 97.00 497.00
40.00 25.00 21.00 153.00
97.00 45.00 29.00 274.00
85.00 42.00 83.00 418.00
92.00 100.00 81.00 535.00
72.00 78.00 99.00 525.00
56.00 35.00 42.00 252.00
58.00 39.00 58.00 310.00
99.00 46.00 56.00 359.00
28.00 82.00 22.00 258.00
93.00 93.00 44.00 411.00
23.00 32.00 83.00 336.00
49.00 67.00 76.00 411.00
27.00 63.00 93.00 432.00
91.00 63.00 92.00 493.00
26.00 51.00 70.00 338.00
95.00 67.00 69.00 436.00
78.00 42.00 25.00 237.00
59.00 81.00 29.00 308.00
32.00 99.00 59.00 407.00
62.00 66.00 91.00 467.00
47.00 21.00 36.00 197.00
52.00 23.00 53.00 257.00
70.00 96.00 74.00 484.00
32.00 83.00 85.00 453.00
65.00 54.00 95.00 458.00
44.00 89.00 66.00 420.00
59.00 77.00 75.00 438.00
96.00 25.00 87.00 407.00
24.00 86.00 33.00 295.00
76.00 85.00 72.00 462.00
64.00 73.00 90.00 480.00
56.00 94.00 78.00 478.00
28.00 89.00 98.00 500.00
32.00 83.00 25.00 273.00
66.00 73.00 29.00 299.00
26.00 77.00 21.00 243.00
36.00 86.00 35.00 313.00
73.00 44.00 61.00 344.00
90.00 23.00 51.00 289.00
52.00 48.00 31.00 241.00
54.00 34.00 49.00 269.00
32.00 64.00 65.00 355.00
69.00 61.00 55.00 356.00
54.00 64.00 64.00 374.00
20.00 82.00 91.00 457.00
25.00 62.00 32.00 245.00
75.00 99.00 100.00 573.00
23.00 28.00 71.00 292.00
41.00 58.00 91.00 430.00
70.00 88.00 33.00 345.00
76.00 25.00 51.00 279.00
62.00 27.00 49.00 263.00
97.00 30.00 28.00 241.00
24.00 45.00 84.00 366.00
31.00 60.00 36.00 259.00
30.00 32.00 64.00 286.00
36.00 72.00 51.00 333.00
35.00 41.00 21.00 180.00
21.00 65.00 41.00 274.00
50.00 54.00 66.00 356.00
85.00 65.00 69.00 422.00
32.00 57.00 96.00 434.00
96.00 32.00 42.00 286.00
53.00 25.00 95.00 388.00
23.00 88.00 52.00 355.00
86.00 70.00 70.00 436.00
97.00 33.00 36.00 271.00
74.00 21.00 37.00 227.00
56.00 69.00 65.00 389.00
24.00 56.00 76.00 364.00
27.00 72.00 42.00 297.00
20.00 70.00 77.00 391.00
51.00 63.00 47.00 318.00
82.00 87.00 55.00 421.00
42.00 71.00 60.00 364.00
83.00 51.00 85.00 440.00
68.00 54.00 26.00 254.00
90.00 92.00 52.00 430.00
97.00 60.00 91.00 490.00
65.00 71.00 32.00 303.00
98.00 64.00 65.00 421.00
81.00 29.00 70.00 349.00
97.00 29.00 25.00 230.00
29.00 30.00 40.00 209.00
30.00 83.00 54.00 358.00
61.00 37.00 51.00 288.00
49.00 80.00 24.00 281.00
92.00 96.00 53.00 443.00
30.00 45.00 97.00 411.00
69.00 22.00 81.00 356.00
48.00 30.00 98.00 402.00
50.00 79.00 53.00 367.00
60.00 98.00 61.00 439.00
97.00 84.00 20.00 325.00
21.00 63.00 74.00 369.00
24.00 33.00 50.00 240.00
54.00 99.00 80.00 492.00
40.00 28.00 100.00 396.00
44.00 93.00 78.00 464.00
78.00 48.00 65.00 369.00
26.00 65.00 98.00 450.00
74.00 62.00 56.00 366.00
40.00 68.00 22.00 242.00
79.00 40.00 91.00 432.00
68.00 52.00 93.00 451.00
72.00 54.00 33.00 279.00
31.00 95.00 87.00 482.00
66.00 23.00 38.00 226.00
57.00 36.00 84.00 381.00
40.00 80.00 47.00 341.00
82.00 36.00 92.00 430.00
21.00 37.00 21.00 158.00
65.00 24.00 27.00 194.00
80.00 69.00 60.00 398.00
82.00 94.00 69.00 477.00
63.00 29.00 57.00 292.00
61.00 82.00 48.00 369.00
96.00 66.00 39.00 345.00
41.00 93.00 65.00 422.00
73.00 68.00 41.00 332.00
43.00 98.00 23.00 308.00
45.00 31.00 91.00 380.00
20.00 78.00 86.00 434.00
47.00 37.00 74.00 343.00
95.00 28.00 44.00 283.00
27.00 81.00 77.00 420.00
46.00 28.00 95.00 387.00
64.00 97.00 62.00 444.00
56.00 52.00 75.00 385.00
45.00 71.00 88.00 451.00
31.00 81.00 83.00 442.00
84.00 26.00 49.00 283.00
87.00 76.00 20.00 299.00
40.00 50.00 42.00 266.00
64.00 70.00 48.00 348.00
66.00 29.00 53.00 283.00
28.00 37.00 59.00 279.00
51.00 36.00 30.00 213.00
62.00 96.00 86.00 512.00
61.00 47.00 62.00 341.00
69.00 66.00 53.00 360.00
41.00 45.00 49.00 278.00
75.00 35.00 76.00 373.00
27.00 58.00 77.00 374.00
35.00 33.00 20.00 161.00
65.00 82.00 25.00 304.00
44.00 89.00 36.00 330.00
93.00 39.00 86.00 429.00
21.00 87.00 40.00 315.00
78.00 48.00 61.00 357.00
22.00 22.00 42.00 192.00
23.00 66.00 99.00 452.00
97.00 41.00 52.00 335.00
42.00 36.00 51.00 267.00
99.00 25.00 64.00 341.00
25.00 42.00 36.00 217.00
82.00 20.00 47.00 263.00
39.00 41.00 37.00 232.00
29.00 29.00 62.00 273.00
39.00 75.00 38.00 303.00
43.00 79.00 94.00 483.00
87.00 70.00 48.00 371.00
96.00 49.00 56.00 362.00
54.00 42.00 46.00 276.00
52.00 64.00 25.00 255.00
84.00 98.00 30.00 370.00
39.00 59.00 71.00 370.00
26.00 26.00 64.00 270.00
95.00 24.00 43.00 272.00
78.00 45.00 51.00 321.00
30.00 31.00 88.00 356.00
95.00 69.00 30.00 323.00
33.00 85.00 58.00 377.00
20.00 97.00 34.00 316.00
74.00 57.00 55.00 353.00
67.00 65.00 38.00 311.00
36.00 80.00 78.00 430.00
98.00 59.00 46.00 354.00
32.00 64.00 89.00 427.00
48.00 22.00 26.00 170.00
44.00 20.00 37.00 195.00
37.00 72.00 58.00 355.00
26.00 75.00 55.00 341.00
23.00 72.00 49.00 314.00
82.00 46.00 59.00 351.00
48.00 42.00 48.00 276.00
52.00 78.00 27.00 289.00
49.00 73.00 36.00 303.00
82.00 32.00 42.00 272.00
77.00 77.00 89.00 498.00
62.00 21.00 54.00 266.00
70.00 47.00 75.00 389.00
81.00 43.00 79.00 404.00
54.00 71.00 32.00 292.00
63.00 34.00 38.00 245.00
22.00 59.00 74.00 362.00
47.00 93.00 26.00 311.00
45.00 37.00 93.00 398.00
44.00 22.00 58.00 262.00
79.00 35.00 58.00 323.00
57.00 45.00 54.00 309.00
45.00 99.00 47.00 384.00
60.00 90.00 31.00 333.00
20.00 62.00 47.00 285.00
63.00 26.00 61.00 298.00
50.00 28.00 70.00 316.00
44.00 76.00 98.00 490.00
20.00 81.00 31.00 275.00
84.00 83.00 59.00 427.00
63.00 94.00 37.00 362.00
45.00 76.00 86.00 455.00
48.00 47.00 63.00 331.00
22.00 40.00 30.00 192.00
91.00 71.00 57.00 404.00
65.00 77.00 49.00 366.00
23.00 69.00 87.00 422.00
72.00 65.00 33.00 301.00
28.00 44.00 82.00 362.00
53.00 38.00 92.00 405.00
46.00 74.00 69.00 401.00
40.00 25.00 67.00 291.00
33.00 48.00 55.00 294.00
84.00 21.00 60.00 306.00
68.00 46.00 68.00 364.00
31.00 92.00 32.00 311.00
84.00 48.00 79.00 417.00
67.00 41.00 49.00 296.00
90.00 37.00 39.00 281.00
88.00 45.00 41.00 301.00
67.00 47.00 55.00 326.00
90.00 84.00 68.00 462.00
66.00 28.00 45.00 257.00
59.00 65.00 64.00 381.00
21.00 28.00 32.00 173.00
24.00 25.00 51.00 227.00
86.00 26.00 84.00 390.00
94.00 21.00 34.00 238.00
51.00 40.00 37.00 242.00
98.00 34.00 61.00 349.00
23.00 26.00 88.00 339.00
92.00 39.00 24.00 242.00
37.00 36.00 79.00 346.00
36.00 31.00 23.00 167.00
62.00 80.00 79.00 459.00
43.00 25.00 73.00 312.00
65.00 36.00 67.00 338.00
67.00 88.00 93.00 522.00
93.00 57.00 36.00 315.00
99.00 95.00 84.00 541.00
52.00 87.00 56.00 394.00
73.00 35.00 90.00 413.00
33.00 87.00 47.00 348.00
40.00 80.00 59.00 377.00
62.00 59.00 68.00 384.00
40.00 71.00 28.00 266.00
90.00 39.00 92.00 444.00
31.00 43.00 45.00 252.00
79.00 23.00 74.00 347.00
44.00 69.00 76.00 410.00
20.00 60.00 20.00 200.00
29.00 40.00 26.00 187.00
85.00 97.00 99.00 576.00
90.00 25.00 26.00 218.00
51.00 71.00 41.00 316.00
94.00 35.00 87.00 425.00
